296096,14
91314,15
91314,1
91314,2
10674,3
10674,8
10674,2
50620,2
50620,9
50620,7
50620,14
1086747,11
1086747,13
1086747,17
1051891,1
1051891,4
1051891,2
324786,7
324786,10
324786,18
893723,3
893723,8
893723,1
893723,15
893723,4
893723,7
893723,2
630240,7
630240,17
630240,11
559,1
559,2
559,15
926393,1
926393,17
926393,5
1329912,1
10138,2
10138,1
10138,15
337167,7
337167,14
614933,15
614933,1
10144,3
10144,8
10144,9
1214509,11
1214509,17
10591,4
10591,14
637649,5
637649,1
637649,17
718014,11
718014,17
718014,7
27066,7
27066,14
73723,3
73723,8
1152624,1
1152624,2
1152624,18
572802,1
572802,2
572802,9
109439,4
966576,2
966576,8
970347,1
970347,17
970347,5
436969,1
436969,4
436969,2
429617,1
429617,2
429617,15
372058,3
372058,14
372058,7
257088,1
257088,2
257088,5
257088,17
14324,2
14324,1
14324,4
14324,14
111,1
111,5
111,7
763215,9
763215,1
763215,2
507089,11
507089,13
41446,11
41446,13
10234,7
10234,11
10234,17
968051,11
360920,3
360920,8
360920,4
360920,9
1019420,14
1019420,4
1019420,9
346364,11
772,4
772,8
772,2
425,3
425,4
425,8
425,2
50619,2
50619,9
50619,14
603,1
603,15
588228,1
588228,15
588228,2
496450,3
496450,9
496450,1
496450,14
496450,8
10386,8
10386,3
10386,15
10386,2
447277,2
447277,8
447277,9
447277,14
259693,11
284054,1
284054,2
284054,15
423108,11
423108,13
423108,17
117251,1
117251,7
117251,17
49013,3
49013,8
49013,2
49013,4
173129,7
173129,14
10315,2
10315,3
10315,4
10315,8
1010600,11
1010600,17
10216,15
10216,1
10216,11
550,7
1018,17
1018,7
1018,13
10607,4
10607,5
829402,3
829402,15
829402,8
829402,1
106,15
106,1
106,2
106,17
117,5
117,10
117,17
729165,17
729165,7
729165,1
729165,5
766507,17
766507,1
766507,15
1062807,3
1062807,4
1062807,2
1062807,1
10020,14
10020,8
10020,3
10020,9
49026,1
49026,5
49026,7
49026,17
228150,18
228150,7
228150,1
383498,1
383498,4
383498,2
47971,1
47971,2
47971,5
1208808,11
646683,11
646683,17
38365,4
284053,1
284053,2
284053,15
934632,15
934632,1
959429,14
959429,7
10257,1
10257,2
10257,4
10257,9
1200674,17
1200674,7
1003596,15
294254,15
294254,1
294254,17
294254,2
792307,15
792307,14
792307,4
1130053,11
1130053,9
980489,2
980489,1
980489,7
4257,4
271110,2
271110,1
271110,15
1284004,3
1284004,4
1027073,1
1027073,17
851644,14
851644,7
18239,2
18239,9
18239,7
18239,14
1014214,1
1014214,7
1111873,11
1111873,17
1094844,1
1094844,15
2907,4
2907,9
184345,4
184345,11
791373,1
791373,2
791373,9
1209288,3
1209288,15
1209288,1
1012148,13
1012148,17
244786,7
244786,12
11639,2
11639,8
11639,9
1364324,4
119450,15
119450,1
119450,7
119450,17
2105,4
2105,14
1248753,17
1248753,7
967847,9
967847,2
967847,4
260514,8
260514,3
260514,2
260514,4
24021,2
24021,9
24021,7
24021,14
10189,1
10189,4
10189,5
39254,1
39254,15
39254,7
626412,15
626412,1
626412,9
626412,2
1282138,5
1282138,7
1019411,4
1019411,14
1196263,11
863,3
863,4
863,8
1005076,1
1005076,5
1005076,17
315635,1
315635,2
315635,15
315635,7
838209,13
838209,11
838209,17
1049948,1
50014,7
1040,7
270946,8
270946,3
270946,2
270946,4
2758,4
2758,8
2758,9
321612,8
321612,9
321612,14
10229,7
10229,14
959098,2
959098,8
1298238,17
1298238,5
1298238,7
1037035,7
14258,3
14258,15
1091267,11
1071215,11
1071215,13
1071215,17
1726,1
1726,15
1726,2
804616,17
804616,11
11770,1
11770,4
985939,17
985939,1
773621,3
773621,7
773621,9
214756,4
214756,9
537915,14
537915,7
1171462,1
1171462,2
1171462,4
1075794,3
1075794,4
1075794,8
10294,11
10294,17
1106739,7
1106739,17
1106739,5
974576,7
974576,17
974576,13
1241752,7
1108427,2
1108427,4
1108427,8
1108427,9
324857,3
324857,1
324857,2
324857,15
950526,1
950526,4
950526,9
505642,1
505642,2
505642,15
984324,1
8871,8
8871,4
8871,9
370172,1
370172,17
370172,2
1231828,11
1231828,9
1231828,18
1231828,7
101,5
101,7
101,1
869291,11
869291,13
869291,15
818647,14
818647,7
818647,4
101299,2
101299,1
101299,15
707610,7
707610,14
1047041,3
1047041,1
1047041,5
1047041,13
11679,1
11679,2
11679,5
11679,13
11679,17
10363,5
10363,7
10363,17
82675,1
82675,5
82675,17
424,7
424,10
424,18
1365141,12
900667,3
900667,2
900667,1
900667,9
900667,12
